Year,Team,Wins,Loss,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding %,Defensive Rebounding %,Rebounding %,Turnover %,Effective Field Goal %,True Shooting %,Pace,Player Impact Estimate
2017,Memphis Grizzlies,6,2,109.9,119.2,-9.3,54.3,1.66,16.2,24.6,69.2,46.6,12.9,51,55.9,86.25,45.8
2017,Milwaukee Bucks,6,2,103.3,103.7,-0.4,60.8,1.59,17.4,24.3,74,48.2,14.8,50.3,53.3,90.33,49
2017,Oklahoma City Thunder,5,1,105,113.7,-8.7,51.3,1.55,14.8,29.3,68.6,48.1,12.9,49,52.5,99.2,47.7
2017,Indiana Pacers,4,0,114.5,119,-4.5,55.6,1.7,16.9,33.8,71.1,51.9,13.9,53,56.4,94.88,48.3
2017,Portland Trail Blazers,4,0,100,116.9,-16.9,44.4,1.03,12,26.4,73.6,48.1,15,45.8,50.7,101.88,36.8
2016,Cleveland Cavaliers,21,16,114.6,105.2,9.5,55.4,1.7,16.8,30.7,74.5,52.8,13.7,54.4,57.3,91.4,55.1
2016,Golden State Warriors,24,15,109.7,105.1,4.5,62.4,1.74,17.9,27.5,67.6,48.2,14.3,52.9,56.2,97.83,53.5
2016,Oklahoma City Thunder,18,11,111.3,105.8,5.5,53.6,1.48,15.5,33.9,72.7,53.5,14.5,50.1,55.1,95.61,53.3
2016,Toronto Raptors,20,10,101.7,106.4,-4.7,45.8,1.21,12.9,30.7,73.7,50.7,14.2,46.3,50.7,90.39,44.6
2016,Miami Heat,14,7,104.4,101.3,3.1,44.4,1.24,13.6,27,74,51.6,14.2,50,53.9,90.62,53.8
2016,San Antonio Spurs,10,6,109.8,100.5,9.3,55,1.84,17,27,68.6,48.5,12.5,51.9,55.7,92.65,56.8
2016,Portland Trail Blazers,11,5,106.3,108.5,-2.3,58.1,1.65,15.8,30.3,73.4,51.3,13.2,48.3,52.3,98.03,46.6
2016,Atlanta Hawks,10,4,103.2,104,-0.8,61.7,1.57,17.2,25.5,70.5,49,14.8,49.4,53.3,96.1,51.6
2016,Charlotte Hornets,7,3,98.8,108.1,-9.3,42.6,1.44,11.8,22.1,72.4,46.1,10.3,43.2,49.4,91.57,43.1
2016,Indiana Pacers,7,3,103.8,101.9,1.9,55,1.26,15.2,26.8,62,46,16,49.5,54.9,90.43,53.8
2016,Boston Celtics,6,2,94.3,101.2,-6.9,61.2,1.43,15.5,27,74.8,49.6,14.7,43.2,47.5,97.72,43.6
2016,LA Clippers,6,2,102.6,101.9,0.7,48.9,1.88,14.3,26.5,69.3,47.9,10.1,47.1,50.2,95.67,51.1
2016,Dallas Mavericks,5,1,101.7,120.4,-18.7,58.2,1.75,16.5,26.3,62.7,44.3,12.8,47.4,51.1,92.6,39
2016,Houston Rockets,5,1,91.4,110.7,-19.3,54.5,0.95,13.3,33.2,74.2,51.6,19,43,46.7,99.6,34.4
2016,Detroit Pistons,4,0,109.2,119.3,-10.1,60.4,2.07,18.4,24.3,70.1,48.1,12.1,53.7,55.9,86.88,47.4
2016,Memphis Grizzlies,4,0,89.3,113.2,-23.9,51.6,1.06,13.5,30,73.3,49.2,17.1,42.3,45.5,90.88,32.8
2015,Golden State Warriors,21,16,107.1,98.8,8.2,64.2,1.68,18.3,28.5,70.7,50.1,15.2,52.1,55,95.13,54.7
2015,Cleveland Cavaliers,20,14,106.6,102.2,4.4,51.9,1.39,14.2,32.7,72.8,52.7,13.9,47.9,52.4,91.47,51.9
2015,Houston Rockets,17,9,106,108.4,-2.4,58.6,1.41,15.8,29.1,70.7,49.8,15.2,50.5,54.4,102.06,48.5
2015,Atlanta Hawks,16,8,102.8,102.9,-0.2,64.6,1.88,18.1,26.3,71.1,48.9,13.3,48.4,52.1,94.15,51.4
2015,Los Angeles Clippers,14,7,107.9,106.7,1.1,57,1.71,16.7,26.5,70.5,48.9,13.2,51.5,54.8,99.08,51.3
2015,Chicago Bulls,12,6,104.2,101.1,3.1,63.2,1.58,17,33.7,70.7,52.5,15.2,47.4,51.5,90.31,52.6
2015,Memphis Grizzlies,11,6,101.7,103.1,-1.5,57,1.85,16,27.9,73.8,50.2,11.8,45.1,50.3,93.14,50.8
2015,Washington Wizards,10,6,105,101,3.9,61.9,1.59,17.3,29.8,71.6,51.3,15.1,49.7,53.3,95.26,53
2015,San Antonio Spurs,7,3,107.7,106.7,1.1,63.1,1.99,18.1,28.1,72.6,50,12.6,50.5,53.6,94.87,49.3
2015,Brooklyn Nets,6,2,100.2,105.9,-5.7,59.9,1.51,16.8,24.2,72,48.2,14.9,48.6,52.2,94.53,45.8
2015,Milwaukee Bucks,6,2,92,104.5,-12.5,59.5,1.54,15.5,26.7,67.4,45.7,13.7,41.9,45.5,93.1,41.6
2015,Dallas Mavericks,5,1,107,111.3,-4.3,51,1.49,15.2,30.9,70.9,50.7,13.8,49.3,53.4,102.7,47.6
2015,Portland Trail Blazers,5,1,101.5,109.1,-7.6,49.7,1.43,13.7,27.1,71.9,49.1,12.6,45.5,50.4,92.3,43.6
2015,Boston Celtics,4,0,100.5,108.9,-8.4,57.6,1.48,15.7,26,69.6,47.1,14.3,45.3,50.4,94.88,42.7
2015,New Orleans Pelicans,4,0,103.6,111.8,-8.2,61.2,1.72,17.5,26.6,69.4,48.7,13.9,49.1,53.6,94.78,46.4
2015,Toronto Raptors,4,0,98.5,113.4,-14.9,53.1,1.63,15,26.8,71.9,47.4,12.3,45.9,49.3,95.03,38.2
2014,San Antonio Spurs,23,16,113.3,103.1,10.2,55.9,1.77,17.5,26.3,72.3,50.5,13.4,54.6,58.3,93.55,57.2
2014,Miami Heat,20,13,112,109.6,2.3,51.6,1.5,16.1,22.3,71.8,47.6,14,55.5,59.4,86.98,50.9
2014,Indiana Pacers,19,10,102.4,104.3,-2,55.9,1.38,15.8,25.4,73.2,49.6,15.2,50,54,89.11,50.5
2014,Oklahoma City Thunder,19,10,106.1,108,-1.9,52.7,1.28,15,29.2,71.4,51.3,15.6,49.6,55.1,93.67,49.9
2014,Los Angeles Clippers,13,6,113.2,110.7,2.5,60.5,1.89,17.8,30.3,66.1,47.5,13.1,51.5,55.5,96.27,50.5
2014,Washington Wizards,11,6,101,100,1,56.7,1.52,15.9,30.5,74.9,52.2,14.3,46.8,50.4,88.62,51.5
2014,Brooklyn Nets,12,5,108.5,109.7,-1.2,52.8,1.5,15.5,27.9,73.7,50.2,13.9,51.4,55.5,88.13,48.7
2014,Portland Trail Blazers,11,5,107.2,113.3,-6.1,45.7,1.27,13.4,32.2,65.5,48.8,14.2,48.2,52.9,94.72,46.4
2014,Atlanta Hawks,7,3,101.4,101.2,0.2,55.7,1.24,14.1,25,72.6,47.6,14.9,45.6,51.5,91.71,45.1
2014,Dallas Mavericks,7,3,108.3,110.4,-2.1,48.9,1.68,15.1,29.5,73.5,49.3,12.2,50,53.2,93.43,47
